SL.no.,Location,"I.P.C.section/
Severity","Injured/
deaths",Cause,Lane,Between ,Season,"Time of the 
day"
1,Kazipet junction,337(minor),1 injured,Hit from back,left,"Motorcycle
 X minitruck",summer,Afternoon
2,Kazipet junction,338(major),1 injured,Road crossing,right,Auto X pedestrian,Rainy,morning
3,Kazipet junction,"338(major)
279(vehicle 
Damage)",1 injured,Hit from back,left,"Motorcycle
 X  Auto",Rainy,morning
4,Kazipet junction,338(major),1 injured,Road crossing,left,"Truck 
X pedestrian",Winter,evening
5,Kazipet junction,"279(vehicle 
Damage)",_,Hit from back,right,Car x car,Winter ,twilight
6,Kazipet bus stop,338(major),1 injured,Road crossing,left,"Motorcycle
X motorcycle",Winter ,twilight
7,Bhavani theatre,304 A (death),1 death,Road crossing,right,Truck x pedestrian,Spring,midnight
8,Bhavani theatre,"338(major)
279(vehicle 
Damage)",1 injured,Road crossing,left,"Motorcycle
 X  Auto",Summer,night
9,FCI ‘X’ Road,"279(vehicle 
Damage)",_,Hit from back,left,Truck x  car,Winter,morning
10,"Fatimanagar
Rly.bridge","337(minor)
279(vehicle 
Damage)",2 injured,Overspeeding,Left,Auto x truck,Winter,evening
11,"Fatimanagar
Rly.bridge","338(major)
279(vehicle 
Damage)",1 injured,Overspeeding,right,"Motorcycle
 X  tractor ",Winter ,twilight
12,"Fatimanagar
Rly.bridge",337(minor),2 injured,Overspeeding,Left,"Motorcycle
 X  Auto",Winter,Afternoon
13,"Fatimanagar
Rly.bridge","304 A (death)
337(minor)","1 death
2 injured",Hit from back,left,Truck x   Motorcycle,Spring,night
14,"Fatimanagar
Rly.bridge","338(major)
337(minor)
279(vehicle 
Damage)
",5 injured,Head on collision,right,"Car x Motorcycle
",Spring,evening
15,"Fatimanagar
Rly.bridge
","304 A (death)
337(minor)","1 death
1 injured",Hit railing,Left,Truck x  cycle,Summer ,morning
16,"Fatimanagar
Rly.bridge",337(minor),1 injured,Road crossing,left,car x pedestrian,Summer,night
17,"Fatimanagar
Rly.bridge","337(minor)
279(vehicle 
Damage)",1 injured,Driving wrong side,right,Jeep X minitruck,Summer,midnight
18,"Fatimanagar
Rly.bridge","337(minor)
279(vehicle 
Damage)",1 injured,Hit from back,left,auto x   Motorcycle,Summer,midnight
19,"Fatimanagar
Rly.bridge","338(major)
337(minor)",2 injured,Hit from back,left,"Car x Motorcycle
",Rainy,night
20,"Fatimanagar
Rly.bridge",338(major),1 injured,Hit from back,left,"Motorcycle
 X  Auto",Rainy,afternoon
21,"Fatimanagar
Rly.bridge",337(minor),1 injured,Overspeeding,Left,"Motorcycle
 X  Auto",Rainy,afternoon
22,"Fatimanagar
Rly.bridge","338(major)
337(minor)
279(vehicle 
Damage)
",2 injured,Hit from back,right,"Motorcycle
 X  Auto",Rainy,night
23,"Fatimanagar
Rly.bridge",337(minor),1 injured,Road crossing,right,"Motorcycle
X pedestrian",Winter,night
24,"Fatimanagar
Junction",337(minor),1 injured,Road crossing,Left,"Motorcycle
X pedestrian",Winter,evening
25,"Andhra bank ATM, Fatimanagar",338(major),1 injured,Road crossing,right,"bus
X pedestrian",Winter,night
26,Golden café junction,304 A (death),1 death,Driving wrong side,Left,"Harvester 
 X  Auto",summer,Afternoon
27,Golden café junction,"279(vehicle 
Damage)",_,Hit from back,right,Truck x  car,Winter,morning
28,Kumar mess,337(minor),1 injured,Overspeeding,Left,pedestrian X  Auto,Rainy,night
29,NIT 2nd gate,338(major),1 injured,Driving wrong side,right,"Motorcycle
X cycle",Summer ,morning
30,NIT 2nd gate,338(major),5 injured,Hit from back,right,Auto  x  car,Winter,Afternoon
31,NIT main gate,337(minor),2 injured,Front axle broke,Right,auto,Summer ,morning
32,NIT main gate,"337(minor)
279(vehicle 
Damage)",4 injured,Hit from back,right,Auto  x  truck,Rainy,afternoon
33,Kalinga dhaba,"338(major)

",1 injured,Road crossing,right,Auto X pedestrian,Spring,night
34,Kalinga dhaba,"338(major)
279(vehicle 
Damage)",1 injured,Hit from back,right,"Motorcycle
  x  car",Summer,night
35,Kalinga dhaba,"279(vehicle 
Damage)",_,While merging,Right,Car x car,Rainy,afternoon
36,Tara gardens,"338(major)

",1 injured,Hit from back,right,cycle  x  car,Winter,morning
37,Tara gardens,"338(major)

",1 injured,Hit from back,right,Auto x  car,Summer,night
38,Sharath mess,"338(major)
279(vehicle 
Damage)",1 injured,Hit from back,right,Auto x  cycle,Winter,morning
39,REC petrol pump,304 A (death),1 death,Hit from back,left,bus X pedestrian,Rainy,morning
