SL.no.,Location,I.P.C.section/Severity,"Injured/
deaths",Cause,Lane,Between ,Season,Time of the day
1,Kazipet junction,304 A(death),1 death,Over speeding,Left,RTC bus x pedestrian,Winter,Afternoon 
2,Kazipet junction,279(vehicle damage),_,Jumped signal,Left,Car x truck,Winter,Morning 
3,FCI ‘x’ roads,338(MAJOR),1 injured,Lane crossing,Right,Motorcycle x mini truck,Rainy ,Evening 
4,"Fatimanagar
Rly. Bridge","304 A(death)
279(vehicle damage)",1 death,Over speeding,Left,Motorcycle x mini truck,Winter,Night 
5,"Fatimanagar
Rly. Bridge","304 A(death)
337(minor)","1 death
1 injured",While overtaking,Left,DCM x motorcycle,summer,Night
6,"Fatimanagar
Rly. Bridge",279(vehicle damage),_,Hit railing,Right,Car,summer,Night
7,"Fatimanagar
Rly. Bridge",279(vehicle damage),_,While overtaking,Left,Car x auto,Rainy,twilight
8,"Fatimanagar
Rly. Bridge",279(vehicle damage),_,Over speeding,Right,Bus x motorcycle,Rainy,Afternoon 
9,"Fatimanagar
Rly. Bridge",279(vehicle damage),_,Hit from back,Left,Bus x car,Rainy,Afternoon 
10,"Fatimanagar
Rly. Bridge",338(MAJOR),3 injured,Head on collision,Left,Bus x auto,Rainy,Afternoon 
11,"Fatimanagar
Rly. Bridge","279(vehicle damage)
337(minor)",2 injured,Hit from back,Left,Tanker x motorcycle,Winter,twilight
12,"Fatimanagar
Rly. Bridge",338(MAJOR),1 injured,While overtaking,Left,DCM x motorcycle,Winter,Afternoon 
13,"Fatimanagar
Bus stop",338(MAJOR),1 injured,Over speeding,Right,Van x auto,Summer ,Morning 
14,"Golden café junction,
Fatimanagar",338(MAJOR),1 injured,Lane crossing,Right,Motorcycle x mini truck,Summer,twilight
15,"Golden café junction,
Fatimanagar",279(vehicle damage),_,Lane crossing,Left,Car x car,Summer ,Morning 
16,"Golden café junction,
Fatimanagar",279(vehicle damage),_,Hit from back,Right,Car x truck,Summer ,Morning 
17,Kumar mess,304 A(death),1 death,Hit from back,Left,Car x motorcycle,Rainy,Morning
18,NIT 2nd gate,"304 A(death)
337(minor)","1 death
1 injured",Over speeding,Right,Motorcycle x truck,Summer,Afternoon
19,NIT 2nd gate,"279(vehicle damage)
337(minor)",1 injured,Lane crossing,Left,Car x motorcycle,Rainy,Morning
20,"NIT main gate
",279(vehicle damage),_,Hit from back,Left,Car x auto,summer,Night
21,NIT main gate,"337
(minor)",1 injured,Over speeding,Left,"Motorcycle
X motorcycle",Rainy,Morning
22,NIT main gate,279(vehicle damage),_,Hit while unparking,Right,Bus x car,Rainy,Afternoon 
23,Kalinga,338(MAJOR),1 injured,While merging,Right,Bus x motorcycle,Spring,Morning 
